N,Time,Threads
a,,128,1.609000,1,

128,1.632000,2,

128,1.630000,2,

128,1.694000,4,

128,1.689000,4,

128,1.698000,4,

128,1.693000,4,

128,1.903000,8,

128,1.907000,8,

128,1.900000,8,

128,1.930000,8,

128,1.920000,8,

128,1.911000,8,

128,1.897000,8,

128,1.915000,8,

128,2.167000,16,

128,2.159000,16,

128,2.148000,16,

128,2.164000,16,

128,2.133000,16,

128,2.147000,16,

128,2.191000,16,

128,2.133000,16,

128,2.173000,16,

128,2.153000,16,

128,2.185000,16,

128,2.181000,16,

128,2.201000,16,

128,2.148000,16,

128,2.192000,16,

128,2.145000,16,

256,1.736000,1,

256,1.660000,2,

256,1.657000,2,

256,1.736000,4,

256,1.729000,4,

256,1.734000,4,

256,1.726000,4,

256,1.860000,8,

256,1.851000,8,

256,1.866000,8,

256,1.876000,8,

256,1.858000,8,

256,1.852000,8,

256,1.848000,8,

256,1.872000,8,

256,2.132000,16,

256,2.172000,16,

256,2.121000,16,

256,2.134000,16,

256,2.190000,16,

256,2.155000,16,

256,2.175000,16,

256,2.191000,16,

256,2.171000,16,

256,2.170000,16,

256,2.157000,16,

256,2.163000,16,

256,2.191000,16,

256,2.167000,16,

256,2.185000,16,

256,2.155000,16,

512,2.161000,1,

512,1.762000,2,

512,1.759000,2,

512,1.766000,4,

512,1.758000,4,

512,1.763000,4,

512,1.773000,4,

512,1.892000,8,

512,1.898000,8,

512,1.883000,8,

512,1.874000,8,

512,1.890000,8,

512,1.887000,8,

512,1.880000,8,

512,1.873000,8,

512,2.189000,16,

512,2.249000,16,

512,2.230000,16,

512,2.262000,16,

512,2.211000,16,

512,2.236000,16,

512,2.226000,16,

512,2.208000,16,

512,2.230000,16,

512,2.215000,16,

512,2.219000,16,

512,2.246000,16,

512,2.224000,16,

512,2.235000,16,

512,2.251000,16,

512,2.255000,16,

1024,3.759000,1,

1024,2.191000,2,

1024,2.189000,2,

1024,1.871000,4,

1024,1.864000,4,

1024,1.876000,4,

1024,1.870000,4,

1024,1.909000,8,

1024,1.886000,8,

1024,1.899000,8,

1024,1.907000,8,

1024,1.896000,8,

1024,1.892000,8,

1024,1.906000,8,

1024,1.917000,8,

1024,2.156000,16,

1024,2.190000,16,

1024,2.192000,16,

1024,2.185000,16,

1024,2.193000,16,

1024,2.186000,16,

1024,2.221000,16,

1024,2.178000,16,

1024,2.214000,16,

1024,2.231000,16,

1024,2.168000,16,

1024,2.227000,16,

1024,2.220000,16,

1024,2.177000,16,

1024,2.186000,16,

1024,2.190000,16,

2048,10.302000,1,

2048,3.842000,2,

2048,3.840000,2,

2048,2.266000,4,

2048,2.261000,4,

2048,2.252000,4,

2048,2.257000,4,

2048,2.072000,8,

2048,2.056000,8,

2048,2.044000,8,

2048,2.053000,8,

2048,2.040000,8,

2048,2.048000,8,

2048,2.071000,8,

2048,2.061000,8,

2048,2.237000,16,

2048,2.230000,16,

2048,2.262000,16,

2048,2.261000,16,

2048,2.285000,16,

2048,2.259000,16,

2048,2.239000,16,

2048,2.248000,16,

2048,2.230000,16,

2048,2.282000,16,

2048,2.279000,16,

2048,2.260000,16,

2048,2.236000,16,

2048,2.269000,16,

2048,2.290000,16,

2048,2.241000,16,

0,1.637000,2,

0,1.639000,2,

